C_Country_codes,Postal_codes,C_Location_name,C_Area,C_Lat,C_Long,C_V12,Match_location
PK,71001,Akro Sharif,Hyderabad,27.6461,69.0124, ,AKRO SHARIF
PK,62301,Akuka,Souhern Punajb Mulan,29.9333,72.85,4,AKUKA
PK,48060,Akwal,Norhern Punajb Rawalpindi,32.9333,72.3667,4,AKWAL
PK,51601,Al Ghumna,Lahore,30.9434,72.2562, ,AL GHUMNA
PK,57470,Al-Jamia,Lahore,30.4753,73.2174, ,AL-JAMIA
PK,67311,Al-Mehran Cyala Mandi,Hyderabad,25.8042,68.6333, ,AL-MEHRAN CYALA MANDI
PK,50401,Ala,Norhern Punajb Rawalpindi,32.6,73.4,4,ALA
PK,29471,Alam Abad,NWFP Peshawar,32.3353,70.1192, ,ALAM ABAD
PK,30001,Alam Abad,Norhern Punajb Rawalpindi,32.5039,72.1288, ,ALAM ABAD
PK,68011,Alam Khan Zardari,Hyderabad,26.0333,68.5069,4,ALAM KHAN ZARDARI
PK,59071,Alam Pur,Souhern Punajb Mulan,30.3981,71.5963, ,ALAM PUR
PK,27601,Alam Shari Kalla,NWFP Peshawar,33.0558,70.9278, ,ALAM SHARI KALLA
PK,40571,Alamabad,Norhern Punajb Rawalpindi,31.9344,71.4764, ,ALAMABAD
PK,48911,Alamabad,Norhern Punajb Rawalpindi,33.0083,73.1583, ,ALAMABAD
PK,68331,Alamabad,Hyderabad,25.3736,68.9597,4,ALAMABAD
PK,50781,Alamgarh,Norhern Punajb Rawalpindi,32.6833,74.1667,4,ALAMGARH
PK,26301,Alamsher,NWFP Peshawar,33.6244,71.3844, ,ALAMSHER
PK,49711,Alang,Norhern Punajb Rawalpindi,32.8167,73.5333,4,ALANG
PK,16301,Alchori,Federal Capial &AJK,35.5333,75.65,4,ALCHORI
PK,51421,Alhar,Lahore,32.3833,74.6667,4,ALHAR
PK,35201,Ali Abad,Lahore,31.6958,72.7681, ,ALI ABAD
PK,52471,Ali Abad,Lahore,31.9356,74.156, ,ALI ABAD
PK,67191,Ali Abad,Hyderabad,26.5,67.9667, ,ALI ABAD
PK,80301,Ali Ahmed Buledi,Balochisan,28.1833,68.0667, ,ALI AHMED BULEDI
PK,24311,Ali Baig,NWFP Peshawar,27.9778,68.6306,4,ALI BAIG
PK,10381,Ali Beg,Federal Capial &AJK,33.0111,73.8694,4,ALI BEG
PK,34311,Ali Daha,Souhern Punajb Mulan,30.0333,70.9833,4,ALI DAHA
